id,name
1,下乳
2,下恶气
3,下气消肿
4,丰体泽肤
5,丰富脂肪
6,丰胸减肥
7,为脑提供丰富的营养成分
8,主要治疗慢性胃炎肝气犯胃型
9,主要食用功效解署
10,乌须黑发
11,乳汁不下
12,体倦乏力
13,体弱消瘦
14,便秘调理
15,促消化
16,促近食欲
17,促进发育
18,促进新陈代谢
19,促进胃液分泌和增加胃内酶素
20,促进脂肪代谢
21,促进血液循环
22,保健功效
23,保护眼睛
24,保护神经细胞
25,保持渗透压
26,保持酸碱度
27,保肝
28,健中固精
29,健美容颜
30,健肺益寿
31,健胃
32,健脑
33,健脑增智
34,健脑增智。
35,健脑提神
36,健脑益智
37,健脑益智。
38,健脾
39,健脾养胃
40,健脾养血
41,健脾和胃
42,健脾固肾
43,健脾安神
44,健脾宽中
45,健脾开胃
46,健脾开胃调理
47,健脾强胃
48,健脾敛汗
49,健脾暖胃
50,健脾生血
51,健脾益气
52,健脾胃
53,健脾补肾益精
54,健脾补虚
55,健脾补血
56,健腰脚
57,健身
58,储存肝糖
59,催产下胎
60,僻秽浊
61,儿童饮料
62,充饥
63,免疫调节
64,入肾经
65,具减肥的作用
66,具有清热
67,具有清热解毒
68,具有独特的降脂作用
69,具有祛风湿
70,养心安神
71,养生
72,养筋益气
73,养肌肤
74,养肝
75,养胃
76,养胃 、暖胃
77,养胃健脾
78,养胃理气
79,养胃阴
80,养血
81,养血健胃
82,养血和血
83,养血壮骨
84,养血安神
85,养血安胎止痛
86,养血强身。
87,养血柔肝
88,养血活血
89,养血润肠
90,养血滋阴
91,养血益胃
92,养血益颜
93,养血祛风
94,养血补虚
95,养血通络
96,养阴
97,养阴和血
98,养阴润肺
99,养阴清肺
100,养阴潜阳
101,养阴生津
102,养阴精
103,养颜
104,养颜美容
105,内服：煎汤3-9g
106,净血
107,凉血润燥
108,减肥
109,分清泻浊
110,利于人体消化吸收
111,利宿水
112,利小便
113,利尿
114,利尿消肿
115,利尿解毒
116,利尿退热
117,利尿通淋药
118,利气止咳
119,利水消肿
120,利湿
121,利湿暖胃
122,利胆消石
123,功效养心神
124,加强排便
